"nameWithOwner","description","tag"
"shixueqian/JSandOC","iOS开发中JS与OC交互","[]"
"KiranPatelSpaceo/TextInputLayout","The objective of this code is to guide you to create login screen with TextInputLayout in iOS app.","[""ios"",""textinputlayout"",""screen"",""this"",""login"",""guide"",""with"",""in"",""code"",""the"",""to"",""login-screen"",""create"",""objective""]"
"nicnocquee/fastgrant","Fastlane actions to grant iOS permissions in iPhone Simulator.","[""iphone"",""ios"",""permissions"",""ios-permissions"",""fastlane"",""actions"",""in"",""grant"",""to""]"
"lanxiner123/WeexGame","WeexGame是用weex开发的一款关于皇室战争游戏并在ios中成功运用的App,页面极为流畅！","[]"
"Stitch7/Instapod","Open source podcast client for iOS, heavily inspired by the abandoned Instacast app","[""open-source"",""client"",""app"",""podcast"",""open"",""source"",""for"",""the"",""abandoned""]"
"sriks/symbolicate","iOS Symbolication using node.js","[""ios"",""node.js"",""using""]"
"tsy12321/PayiOS","iOS端对微信App支付和支付宝App支付的SDK进行二次封装，对外提供一个较为简单的接口和支付结果回调","[]"
"amansawhney/Space-Shooter-Thingy","This is a game I made for the IOS platform. ","[""ios"",""this"",""game"",""for"",""the"",""a"",""made"",""i""]"
"allanburleson/mediawiki_ui","mediawiki_ui is a Pythonista module for a nicer iOS user interface for MediaWiki wikis.","[""ios"",""interface"",""user-interface"",""module"",""for"",""mediawiki"",""user"",""a"",""pythonista""]"
"SoaurabhK/CocoaHttpServer","A small, lightweight, embeddable HTTP server for Mac OS X or iOS applications","[""ios"",""http"",""server"",""mac"",""os"",""http-server"",""for"",""embeddable"",""x"",""applications"",""mac-os"",""a""]"
"NordicSemiconductor/IOS-nRF-Connect","Info page","[""page"",""info""]"
"kwallet/planet","A country picker view controller for iOS","[""ios"",""view"",""controller"",""picker"",""country-picker"",""country"",""for"",""picker-view"",""a"",""view-controller""]"
"runner365/GPUImageRtmpPush","iOS rtmp推流sdk，可以接入gpuimage的多种滤镜","[""ios""]"
"lyon888/WxPayDemo","iOS发起微信支付Demo","[]"
"Jinxiansen/JHUD","A full screen of the HUD when loading the data (Objective-C).","[""loading"",""screen"",""data"",""hud"",""the"",""a"",""full-screen"",""full""]"
"knightsj/Stanford_iOS_Lecture_DemoBundle","Stanford University : Developing Apps for iOS CS193P course","[""ios"",""apps"",""university"",""course"",""for"",""developing"",""stanford"",""cs193p"",""stanford-university""]"
"deivitaka/PushNotifications-iOS","This is the Xcode project that I work on in the article ""Developing Push Notifications for iOS 10"".","[""xcode"",""ios"",""notifications"",""push"",""project"",""this"",""push-notifications"",""article"",""for"",""in"",""the"",""work"",""on"",""i""]"
"CatchZeng/CATRadarView","iOS radar view","[""ios"",""view"",""radar""]"
"daihanqiao/react-hybrid","基于react的混合APP，同时输出ios，android，wap应用","[]"
"iosphere/ISHHoverBar","A floating UIToolBar replacement as seen in the iOS 10 Maps app, supporting both vertical and horizontal orientation.","[""ios"",""uitoolbar"",""maps"",""floating"",""horizontal"",""vertical"",""in"",""the"",""as"",""a"",""and"",""10"",""ios-10""]"
"react-native-component/react-native-smart-toast","A android like toast for android and ios, written in JS.","[""android"",""toast"",""for"",""in"",""like"",""a"",""and"",""android-like""]"
"react-native-component/react-native-smart-pull-to-refresh-listview","A smart pull-down-refresh and pull-up-loadmore react-native listview, for ios, written in pure JS, for android, written in JS and Java.","[""react-native"",""js"",""smart"",""for"",""in"",""a"",""and"",""pull-down-refresh""]"
"TonyReet/TYSnapshotScroll","一句代码保存截图，将 UIScrollView UITableView UICollectionView UIWebView WKWebView  网页 保存 为 长图 查看。Save the scroll view page as an image,support UIScrollView,UITableView,UICollectionView,UIWebView,WKWebView.(Support iOS13)","[""uitableview"",""uicollectionview"",""uiscrollview"",""view"",""scroll"",""uiwebview"",""wkwebview"",""page"",""the"",""as"",""scroll-view"",""an""]"
"Rochester-Ting/iOS-Advanced-Guide","叶孤城iOS进阶指南学习笔记","[]"
"IfengAutomation/uitester"," Android & IOS devices ui test tool","[""ios"",""android"",""ui"",""tool"",""test"",""ios-devices"",""devices"",""ui-test""]"
"Calvin92/Start_Developing_iOS_Apps_Swift","苹果官方教程－－Start Developing iOS Apps (Swift)，基于Swift2.2、Xcode7.3+开发iOS应用入门教程，中文参照版","[""ios"",""apps"",""developing""]"
"markspanbroek/Ethereum-iOS","Experimental Ethereum iOS Builds","[""ios"",""ethereum"",""experimental"",""builds""]"
"ignotusverum/PokeGO-iOS","pokemon go database - iOS Client","[""ios"",""database"",""client"",""go"",""pokemon"",""pokemon-go"",""ios-client""]"
"zavenco/AppExtensionSample","iOS App Extension sample","[""ios"",""ios-app-extension"",""app"",""ios-app"",""sample"",""extension"",""app-extension""]"
"kevinzhangftw/PencilAnnotator","a iOS productivity app to annotate on the iPad Pro with Apple Pencil","[""ios"",""ipad"",""app"",""apple"",""pro"",""productivity"",""with"",""pencil"",""the"",""to"",""on"",""a"",""apple-pencil""]"
"geekbing/Gank.IO","Gank.IO是iOS客户端","[]"
"jpush/cordova-plugin-jsms","JiGuang's officially supported JSMS PhoneGap/Cordova plugin (Android & iOS). 极光官方支持的短信验证码 PhoneGap/Cordova 插件。","[""plugin""]"
"wjxlogo/Quartz2D","Quartz 2D是一个二维绘图引擎，同时支持iOS和Mac系统","[""quartz""]"
"cohenadair/anglers-log","Anglers' Log is a mobile application (Android, iOS) that allows users to track, analyze, and share their catches in the sport of fishing.","[""mobile"",""share"",""mobile-application"",""application"",""log"",""in"",""sport"",""the"",""to"",""a"",""users"",""and""]"
"jbroadway/asl-player","A sign language video player for Apache Cordova that embeds into the corner of your screen, allowing for simultaneous playback with another video.","[""video"",""cordova"",""apache"",""playback"",""video-player"",""player"",""language"",""sign"",""for"",""apache-cordova"",""sign-language"",""with"",""corner"",""the"",""a"",""simultaneous""]"
"joe-broder15/OutSource","[DEPRECATED] The first extensive iOS app i ever made when I was 16. I don't have plans to update this to Swift 4 at the moment, and  this project will be discontinued for now. This is a GPS pinning based event finder for Outdoor enthusiasts to find activities happening ""right now"".","[""swift"",""ios"",""gps"",""project"",""this"",""app"",""update"",""discontinued"",""ios-app"",""find"",""event"",""first"",""for"",""activities"",""the"",""based"",""to"",""a"",""pinning"",""swift-4"",""outdoor"",""and"",""made"",""will"",""finder"",""i""]"
"tkporter/react-native-sms","SMS composer with callbacks for iOS and Android","[""ios"",""android"",""sms"",""callbacks"",""for"",""composer"",""with"",""and""]"
"huacnlee/PokemonGoMove","Pokemon GO iOS GPS Emulator - NO Jailbreak needed, lets you play the game on your Mac :)","[""ios"",""gps"",""jailbreak"",""go"",""game"",""mac"",""pokemon"",""emulator"",""pokemon-go"",""play"",""the"",""no"",""on"",""no-jailbreak""]"
"J1ngB0/ios-vulnerability-detection","针对iOS应用程序的漏洞检测","[]"
"ecency/esteem","eSteem Mobile - Application for Android and iOS users, start earning cryptocurrency!","[""ios"",""android"",""mobile"",""application"",""esteem"",""for"",""and"",""start""]"
"DJI-Mobile-SDK-Tutorials/iOS-SimulatorDemo","This demo shows you how to use the DJISimulator of DJI Mobile SDK.","[""mobile"",""this"",""demo"",""shows"",""the"",""dji"",""to"",""how"",""how-to""]"
"arvindhsukumar/PredicateEditor","A GUI for dynamically creating NSPredicates at runtime to query data in your iOS app.","[""ios"",""runtime"",""gui"",""data"",""query"",""for"",""in"",""dynamically"",""to"",""a"",""nspredicates""]"
"marpies/onesignal-ane","OneSignal extension for Adobe AIR (iOS & Android)","[""air"",""onesignal"",""adobe"",""adobe-air"",""for"",""extension""]"
"spxrogers/Alamofire-Gloss","Gloss bindings for Alamofire","[""alamofire"",""bindings"",""for"",""gloss""]"
"svdo/swift-SelfSignedCert","A framework for iOS that allows creating self-signed certificates, implemented in Swift.","[""ios"",""self-signed"",""framework"",""for"",""in"",""a""]"
"garranhado/XKFFmpegPlayer","Clean FFmpeg player for iOS / tvOS","[""ios"",""tvos"",""ffmpeg"",""clean"",""player"",""for"",""ffmpeg-player""]"
"isno/airourou","ios 论坛","[""ios""]"
"yorkepb/nytm-ios10-notifications","an iOS 10 Implementation of Notifications for NYTM","[""ios"",""notifications"",""implementation"",""for"",""an"",""10"",""ios-10""]"
"Primix/MetaModel","MetaModel is designed to deal with model layer in iOS development with concise APIs which including data persistent, JSON to model and etc.","[""json"",""ios"",""layer"",""model"",""apis"",""data"",""development"",""with"",""in"",""to"",""ios-development"",""and""]"
"suragch/Chimee-iOS","Traditional vertical script Mongolian writing app for iOS ","[""ios"",""app"",""script"",""for"",""vertical"",""mongolian""]"
"VivekVithlani/QRCodeReader","QRCodeReader with V3QRCodeReaderFramework","[""with""]"
"MillmanY/Localize-String-Help","Help Ios/Android to generate localize string file","[""string"",""file"",""generate"",""help"",""to"",""localize""]"
"nahive/location-spoofer","Spoof moving location on iOS device 🗺","[""ios"",""location"",""device"",""spoof"",""on"",""ios-device""]"
"iOS-Love/duoc-workshop","iOS Love Workshop en Duoc UC","[""ios"",""love"",""workshop"",""uc""]"
"shunpochang/connect_love_mobile_demo","connect-love Demo iOS and Android app - using react native (see web version - https://github.com/shunpochang/connect_love_demo)","[""ios"",""android"",""react-native"",""web"",""native"",""version"",""android-app"",""app"",""react"",""demo"",""demo-ios"",""using"",""and""]"
"aronbalog/ARoute","Advanced open source iOS URL routing library with simple API - Prerelease","[""ios"",""api"",""url"",""open-source"",""library"",""simple"",""routing"",""open"",""source"",""with"",""advanced""]"
"facebookarchive/facebook-swift-sdk","Integrate your iOS apps in Swift with Facebook Platform.","[""swift"",""ios"",""facebook"",""apps"",""with"",""in""]"
"learn-co-curriculum/FlatironGO","Tutorial on making a Pokemon-Go like iOS app.","[""ios"",""tutorial"",""pokemon-go"",""like"",""on"",""a""]"
"doudoudzj/Open-Source-Apps-iOS","Creating an iOS app to complement the Collaborative List of Open-Source iOS Apps initiated by @dkhamsing","[""ios"",""list"",""open-source"",""app"",""apps"",""ios-app"",""the"",""to"",""an"",""collaborative""]"
"Driversnote-Dev/react-native-kontaktio","React Native (iOS and Android) library for Kontakt.io beacons (and all other beacons)","[""react-native"",""native"",""library"",""react"",""beacons"",""for"",""and"",""other""]"
"Harekaze/Harekaze-iOS","Harekaze for iOS","[""ios"",""for""]"
"ShelinShelin/SourceCodeAnalyze","iOS Source Code Analyze","[""ios"",""source"",""source-code"",""code"",""analyze""]"
"7heaven/SHJavascriptInterface","javascriptinterface for iOS","[""ios"",""for"",""javascriptinterface""]"
"mayuur/react-native-callout","Simple Callout View for react-native which can be used on both iOS/Android","[""view"",""react-native"",""simple"",""for"",""can"",""on""]"
"rudyhuynh/react-native-lazy-swiper","React native swiper component with lazy-loaded content.","[""react-native"",""native"",""react"",""component"",""swiper"",""with"",""react-native-swiper""]"
"jihongboo/DeepMusic-for-iOS","A Music Player for iOS based on ESTMusicPlayer","[""ios"",""player"",""music"",""music-player"",""for"",""based"",""on"",""a""]"
"balance-io/Plaidster","An organised, documented Plaid binding for OS X and iOS (in Swift).","[""ios"",""binding"",""plaid"",""os"",""for"",""x"",""and"",""an"",""documented""]"
"xtrinch/MRTableViewCellCountScrollIndicator","iOS Table View Cell Scroll Count Indicator","[""ios"",""view"",""scroll"",""cell"",""count"",""indicator"",""table"",""table-view""]"
"CharmingLee/RecordingDemo","iOS录音后转MP3并且实现音频拼接的示例程序","[]"
"BelovedRobot/PingPong","A Beloved Robot framework that supports background, foreground, and offline json document syncing. ","[""json"",""offline"",""document"",""framework"",""robot"",""a"",""and""]"
"NickPepper/FullDive_iOS","VR/AR engine for iOS","[""ios"",""engine"",""for""]"
"eternagame/eternachat","Eterna Chat iOS app","[""ios"",""chat"",""app"",""ios-app""]"
"NSExceptional/TBInteractivePushTransition","The interactive push transition iOS was missing.","[""ios"",""push"",""transition"",""the"",""interactive""]"
"kemalenver/GPXLocations","iOS Application with locations for simulating","[""ios"",""application"",""locations"",""for"",""with"",""ios-application""]"
"Applifier/Unity-Ads-SDK-2.0-Integration-Examples","Android and iOS integration examples for SDK 2.0","[""sdk"",""ios"",""android"",""integration"",""examples"",""for"",""and""]"
"EvanBacon/FacialRecognitionEmojiSearch","🙂🙃 Search for emojis using facial recognition. Built in Swift targeted for iOS 9.3+","[""swift"",""ios"",""search"",""emojis"",""for"",""in"",""using""]"
"ezefranca/EFIntroVideoViewController","A very simple IBDesignable Video Intro ViewController.","[""video"",""ibdesignable"",""simple"",""intro"",""a""]"
"kiruto/rap-class-generator","依赖RAPAPI服务的扩展功能，直接生成android和ios对json解析的类文件","[]"
"djangolee/JoRefresh","pull to refresh","[""refresh"",""pull-to-refresh"",""pull"",""to""]"
"FaceAR/OpenFaceIOS","OpenFace is get from https://github.com/TadasBaltrusaitis/OpenFace, a state-of-the art open source tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation. And I create an ios project. Delete Dlib,TBB,Boost. Only use OpenCV .","[""ios"",""get"",""opencv"",""open-source"",""action"",""tool"",""art"",""delete"",""open"",""source"",""for"",""from"",""unit"",""a"",""pose"",""only"",""create"",""and"",""an"",""landmark"",""i"",""facial-landmark""]"
"vimfung/LuaScriptCore","一款简单易用的多平台Lua桥接器，目前支持在iOS、Mac OS X、Android以及Unity3D中使用，让原生环境与Lua无障碍沟通。","[""os""]"
"redbooth/react-native-quick-look","React Native Component for iOS QuickLook Framework.","[""ios"",""react-native"",""native"",""quicklook"",""react"",""component"",""react-native-component"",""for"",""native-component""]"
"yandex/mapsapi-ios","Allows to easily add Yandex.Maps to your existing iOS project using Yandex.Maps JavaScript API","[""ios"",""javascript"",""api"",""project"",""add"",""to"",""using"",""ios-project"",""easily""]"
"RickRedSix/BLE4.0-iOS-Swift-Demo","A demo app for talking to a Bluetooth 4.0 device, specifically the Bluno Beetle (http://www.dfrobot.com/index.php?route=product/product&product_id=1259)","[""bluetooth"",""app"",""demo"",""demo-app"",""for"",""the"",""to"",""a"",""talking""]"
"Innovatube/ios-boilerplate","Innovatube Boilerplate for iOS","[""ios"",""boilerplate"",""for""]"
"XCTEQ/XCFit","Full Stack Protocol Oriented BDD in Xcode for iOS app with Swift using XCUITest, Cucumberish and FitNesse","[""swift"",""xcode"",""ios"",""stack"",""app"",""ios-app"",""bdd"",""for"",""protocol"",""with"",""in"",""using"",""full-stack"",""and"",""protocol-oriented"",""full""]"
"CharlyZhang/Vuforia-iOS-Lib","This is a static library based on Vuforia, make AR application on iOS easier. ","[""ios"",""static"",""this"",""library"",""application"",""ar"",""based"",""make"",""on"",""a"",""static-library""]"
"tombaranowicz/PostManager","iOS Swift + Node.js  app to manage and schedule twitter posts (like buffer)","[""swift"",""ios"",""node.js"",""twitter"",""app"",""schedule"",""ios-swift"",""to"",""manage"",""and"",""posts""]"
"Merott/nativescript-pdf-view","A basic PDF viewer plugin for NativeScript. Now maintained by @madmas: github.com/madmas/nativescript-pdf-view","[""pdf"",""pdf-viewer"",""basic"",""plugin"",""viewer"",""for"",""a"",""now""]"
"ronanamsterdam/capio","Photo/Video ios app that gives full control over camera back to users","[""ios"",""camera"",""back"",""app"",""ios-app"",""control"",""to"",""users"",""full"",""over""]"
"kurtjacobsdev/torch2ios","Torch7 Library - Convert NN Models To iOS Format","[""ios"",""format"",""library"",""models"",""convert"",""to"",""torch7""]"
"HughesCuit/CallDemo","iOS 10 callKit 以及 Call Directory Extension 的Demo","[""ios"",""call"",""directory"",""callkit"",""extension"",""10"",""ios-10""]"
"popwarsweet/ScrollableGridCollectionView","A grid layout collection view with horizontally scrolling rows, similar to Netflix's iOS layout.","[""ios"",""layout"",""view"",""grid-layout"",""grid"",""scrolling"",""collection"",""with"",""similar"",""to"",""a"",""collection-view""]"
"st0ffern/react-native-nativebutton","Native button for iOS and Android","[""ios"",""android"",""button"",""native"",""for"",""and""]"
"vapor/university","Web application, iOS app, and API providing access to tutorials for the Vapor web framework. ","[""ios"",""api"",""web"",""tutorials"",""for"",""vapor"",""the"",""access"",""to"",""and""]"
"flainsky/SceneKit-VRPlayer","使用SceneKit技术制作的iOS VR全景互动播放器","[]"
"samisalkosuo/clp4ios","Command Line Program for iOS.","[""line"",""command-line"",""command"",""for"",""program""]"
"hellokoding/hackernewsapp-reactnative","Hacker News App with React Native","[""react-native"",""native"",""app"",""react"",""news"",""hacker-news"",""with"",""news-app"",""hacker""]"
"strongbox-password-safe/Strongbox","A KeePass/Password Safe Client for iOS and OS X","[""ios"",""client"",""os"",""safe"",""for"",""x"",""a"",""and""]"
"DragonCherry/HFSwipeView","Infinite Swipe View for iOS written in Swift","[""swift"",""ios"",""view"",""swipe"",""infinite"",""for"",""in""]"
"al-liu/HCFunwear-iOS","仿有范 App","[""app""]"
"cavalierfly/iOS-3D-Earth","iOS 3D Earth with SceneKit","[""ios"",""3d"",""scenekit"",""earth"",""with""]"
"weijentu/automatic-height-tagcells","This is a sample project to implement features with dynamic height of UITableViewCell based on autolayout, tags aligned automatically and clickable tags.","[""height"",""tags"",""dynamic"",""project"",""this"",""clickable"",""sample"",""with"",""features"",""sample-project"",""automatically"",""based"",""to"",""on"",""a"",""and"",""uitableviewcell""]"
"fastred/EmojiTextView","Tap to swap out words with emojis. Inspired by Messages.app on iOS 10.","[""ios"",""tap"",""words"",""swap"",""with"",""to"",""on""]"
"eggswift/iOSRENote","iOS逆向开发笔记","[]"
"sanghapark/SHVideoTrimmer","[iOS] video trimmer view","[""video"",""view"",""trimmer"",""video-trimmer""]"
"949886/Bilibili-iOS","Bilibili iPhone & iPad client demo.","[""iphone"",""ipad"",""client"",""bilibili""]"
"shiyuan17/AAKit","Ios快速开发库","[]"
"joncardasis/AppExplorer",":gear: An application which showcases the use of Apple's private frameworks.","[""private"",""application"",""the"",""an"",""showcases""]"
"geekcomputers/Pythonista","My Scripts I use in Pythonista on iOS Devices","[""ios"",""scripts"",""ios-devices"",""in"",""devices"",""on"",""pythonista"",""i""]"
"silence0201/ios-design","ios设计模式的理解","[]"
"ivorpeles/React-Native-Line-Plot","Basic iOS Line Plots in React Native","[""ios"",""react-native"",""native"",""line"",""basic"",""react"",""in"",""plots""]"
"qijitech/SHButton","A simple custom button inspired by iTunes for iOS 10.","[""ios"",""itunes"",""button"",""simple"",""custom"",""for"",""custom-button"",""a""]"
"HHQBOOK/qrCode","iOS中二维码的生成,黑白二维码,彩色二维码,带logo(图片)的二维码","[]"
"bolorundurowb/firenotes","A simple notes app that utilizes Googles firebase for authentication and storage. Built for Android and iOS using Xamarin Forms","[""ios"",""android"",""xamarin"",""firebase"",""authentication"",""forms"",""notes"",""app"",""simple"",""xamarin-forms"",""notes-app"",""for"",""using"",""a"",""and""]"
"HHQBOOK/in_App_Purchases","in_App Purchases在iOS项目中内置购买虚拟商品的功能","[]"
"TortugaPower/BookPlayer","Player for your DRM-free audiobooks","[""player"",""for"",""audiobooks""]"
"avishayil/react-native-restart","React Native Package With One Purpose: To Restart Your React Native Project","[""react-native"",""native"",""package"",""project"",""restart"",""react"",""with"",""to"",""one""]"
"aaron-2015/iOS-Automation-pack","一个iOS自动打包并发布到蒲公英的脚本","[]"
"zekunyan/TTGDeallocTaskHelper","NSObject Category to add callback tasks when object dealloc.","[""object"",""callback"",""nsobject"",""add"",""tasks"",""to"",""category""]"
"elucideye/drishti","Real time eye tracking for embedded and mobile devices.","[""mobile"",""time"",""real-time"",""tracking"",""embedded"",""eye-tracking"",""for"",""eye"",""and"",""real""]"
"narayananvenk/react-native-paypal","React native bridge for Paypal (iOS and Android) mobile SDKs","[""mobile"",""react-native"",""native"",""paypal"",""react"",""bridge"",""for"",""react-native-bridge"",""and"",""native-bridge"",""sdks""]"
"TheoBendixson/iOSUnitTestsIntro","How To Get Started With iOS Unit Tests in Swift Example Source Code","[""swift"",""ios"",""get"",""tests"",""example"",""unit-tests"",""source"",""with"",""in"",""source-code"",""code"",""to"",""unit"",""how"",""how-to""]"
"gezhaoyou/CaptureVideoDemo","It's a demo run in ios that can capture  camera video and save it as h264 file.","[""ios"",""video"",""camera"",""save"",""capture"",""demo"",""h264"",""can"",""it"",""in"",""as"",""a"",""and""]"
"lurado/MovieDict","iOS dictionary for international movie titles & Wikipedia mining tools","[""ios"",""dictionary"",""wikipedia"",""tools"",""movie"",""international"",""for"",""mining"",""titles""]"
"zekunyan/TTGNotificationGuard","Auto remove the observer from NSNotificationCenter after the oberser dealloc","[""nsnotificationcenter"",""dealloc"",""auto"",""observer"",""from"",""the"",""remove""]"
"spik3r/appstore_scraper","small python scraper to get ratings and reviews from the iOS app store","[""ios"",""get"",""python"",""app-store"",""store"",""app"",""ios-app"",""ratings"",""scraper"",""from"",""small"",""the"",""to"",""python-scraper"",""reviews"",""and""]"
"vuinguyen/SocketIO-IoT-System","IoT system that uses a web client and iOS mobile client to control LED lights on an Intel Edison board. Communicates with the board through the local websocket server using the Socket.io libraries for web and iOS.","[""ios"",""mobile"",""socket.io"",""web"",""server"",""websocket"",""libraries"",""local"",""client"",""iot"",""system"",""intel"",""led"",""control"",""for"",""intel-edison"",""board"",""with"",""websocket-server"",""the"",""led-lights"",""to"",""on"",""using"",""a"",""and"",""an"",""lights""]"
"deden/MultiplayerPokemonGoController","Using one iOS device as controller, you can control 2 devices for playing Pokemon Go iOS game","[""ios"",""device"",""go"",""game"",""ios-game"",""pokemon"",""pokemon-go"",""control"",""for"",""can"",""2"",""devices"",""as"",""one"",""using"",""ios-device""]"
"Chandlerdea/NetworkingController","A simple, thread safe networking library for iOS","[""ios"",""networking"",""library"",""thread"",""safe"",""for"",""a"",""thread-safe""]"
"chintan1891/iOS-Alexa","Amazon Alexa Client for iOS","[""ios"",""client"",""amazon"",""alexa"",""for""]"
"openxc/openxc-ios-framework","OpenXC iOS framework for use with the C5 BLE device. Also see the openxc-ios-app-demo.","[""ios"",""framework"",""ble"",""for"",""with"",""the"",""ios-framework""]"
"cooxu/PresentAnimView","iOS 动画队列-仿映客刷礼物效果","[""ios""]"
"openxc/openxc-ios-app-demo","OpenXC demonstration app that use all of the features of the openxc-ios-framework. This can be a starting app for any OpenXC iOS application that wishes to use the C5 BLE device.","[""ios"",""this"",""app"",""ble"",""application"",""for"",""can"",""features"",""the"",""to"",""ios-application"",""a"",""demonstration"",""any""]"
"dorukgezici/iOSAppIconGenerator","An App Icon Generator for Xcode iOS Development, written with Python 3.","[""xcode"",""ios"",""python"",""app"",""icon"",""generator"",""for"",""with"",""icon-generator"",""an"",""app-icon-generator"",""app-icon""]"
"ivan-magda/Californication","California points of interest","[""california""]"
"predict-legacy/PredictIO-iOS","A battery-optimized SDK for iOS to get real-time updates with context information when a user starts or ends a journey.","[""sdk"",""ios"",""get"",""updates"",""real-time"",""information"",""context"",""for"",""with"",""user"",""to"",""a"",""sdk-for-ios""]"
"letsroundup/react-native-localytics","Native Bindings for the Localytics SDK (iOS only for now)","[""sdk"",""native"",""bindings"",""for"",""the"",""localytics"",""only""]"
"alexsorokoletov/Xamarin.Firebase.iOS","[obsolete] Google Firebase bindings for Xamarin.iOS","[""firebase"",""xamarin.ios"",""google"",""bindings"",""for"",""google-firebase""]"
"JakeLin/PokemonStickerPack","PokémonStickerPack is a Pokémon sticker pack for iOS 10 Messages app","[""ios"",""app"",""messages"",""for"",""sticker"",""a"",""pack"",""sticker-pack"",""10"",""ios-10""]"
"macbetter/ioszen.com-redesign","A website using Github Pages and Jekyll","[""github"",""website"",""jekyll"",""pages"",""using"",""a"",""and"",""github-pages""]"
"crazycodeboy/GitHubPopular","这是一个用来查看GitHub最受欢迎与最热项目的App,它基于React Native支持Android和iOS双平台。#适配RN最新版在这里☞#","[]"
"tomasz-swirski/iOS9-Safari-Click-Fix","iOS9 Safari Click Event Fix","[""ios9"",""safari"",""click"",""event"",""fix"",""click-event""]"
"arshinx/iOS-Google-Calendar-API","iOS Swift: Simple Use of Google Calendar API to display events.","[""ios"",""api"",""calendar"",""google-calendar-api"",""display"",""google"",""simple"",""calendar-api"",""google-calendar"",""to""]"
"dcutting/CleanNote","A sample project applying Clean Architecture to iOS and Mac.","[""ios"",""project"",""architecture"",""clean-architecture"",""clean"",""sample"",""sample-project"",""to"",""a"",""and""]"
"statful/statful-client-objc","Statful client to send metrics from macOS and iOS.","[""macos"",""client"",""send"",""metrics"",""from"",""to"",""and""]"
"chester39/iOSAPP","Some iOS App by Chester Chen","[""ios"",""app"",""ios-app"",""chester"",""some""]"
"weigong1983/handwork-ios","一个完整的手工艺电商app项目的IOS源码","[]"
"SoaurabhK/iOS-Animations","iOS Animations using stop watch and animateWithDuration techniques resp.","[""ios"",""animatewithduration"",""ios-animations"",""watch"",""animations"",""using"",""and""]"
"react-native-projects/stopwatch","Basic stop watch app(iOS) with react native","[""react-native"",""native"",""watch"",""basic"",""react"",""with""]"
"iovation/launchkey-ios-authenticator-sdk","LaunchKey Authenticator SDK for iOS","[""sdk"",""ios"",""authenticator"",""for"",""sdk-for-ios""]"
"limxing/IOS-LoadingView","android-loadingView IOSloadingView","[]"
"KevinZhouRafael/ZKCollectionViewFreezeLayout","A layout that can set freeze coloums number and row numbers in UICollectionView., and scroll both Horizontal and Vertical direct.","[""layout"",""scroll"",""set"",""numbers"",""freeze"",""row"",""number"",""horizontal"",""vertical"",""can"",""in"",""a"",""and"",""scroll-both""]"
"xsada/UyghurKeyboard","Uyghur Keyboard for ios","[""keyboard"",""ios"",""for""]"
"fengzhihao123/DownloadFont","iOS 动态下载系统字体","[""ios""]"
"jefby/Potatso-iOS","Copyed from https://github.com/shadowsocks/Potatso-iOS","[""from""]"
"airbnb/swift","Airbnb's Swift Style Guide.","[""swift"",""style""]"
"ekke/c2gQtCon_x","Conference2Go QtCon for x-platform (Android, iOS)","[""for""]"
"facebookarchive/Keyframes","A library for converting Adobe AE shape based animations to a data format and playing it back on Android and iOS devices.","[""ios"",""android"",""back"",""adobe"",""format"",""library"",""animations"",""shape"",""data"",""for"",""it"",""based"",""to"",""on"",""a"",""converting"",""and""]"
"wireapp/avs-ios-binaries","AVS binaries for iOS","[""ios"",""for"",""binaries""]"
"lxypeter/CYMailDemo","A mail client base on mailcore2","[""client"",""mailcore2"",""base"",""mail"",""on"",""a""]"
"hardman/ios_push_stream_with_mp4_hard_encode","iOS push live stream with rtmp protocol. Hardware encode mp4(h264/aac) convert to flv then push to rtmp server","[""ios"",""server"",""rtmp"",""push"",""stream"",""encode"",""hardware"",""live"",""convert"",""with"",""rtmp-server"",""flv"",""to"",""then""]"
"ZhaoliangGuo/live555-simple-demo-4-iOS","Build the live555 to an static library in Xcode for an iOS application.","[""xcode"",""ios"",""build"",""static"",""library"",""for"",""in"",""the"",""to"",""an"",""static-library""]"
"Tueno/MessageProgressView","Simple loading animation for Swift.","[""animation"",""loading"",""simple"",""loading-animation"",""for""]"
"microsoftgraph/ios-objectivec-apple-watch-sample","[ARCHIVED] This Apple Watch sample uses Microsoft Graph to find out more about a colleague in a meeting.","[""apple-watch"",""graph"",""this"",""watch"",""microsoft"",""sample"",""apple"",""find"",""about"",""in"",""to"",""a""]"
"midhun73s/MSDynamicMenu","iOS custom menu using UIKit dynamics and swift","[""swift"",""ios"",""menu"",""uikit"",""uikit-dynamics"",""custom"",""using"",""custom-menu"",""and""]"
"mopsicus/unity-share-plugin-ios-android","Unity share plugins for iOS and Android with sources.","[""ios"",""android"",""share"",""plugins"",""unity"",""for"",""with"",""and""]"
"Orange-OpenSource/m-dan","mDan is a mobile application (Android and iOS) which explains accessibility guidelines  and presents the best practices of a mobile systems in action","[""mobile"",""mobile-application"",""action"",""accessibility"",""application"",""best-practices"",""guidelines"",""best"",""in"",""the"",""a"",""and"",""practices""]"
"wtpisaac/CyanDate","A simple date widget for iOS 10.","[""ios"",""widget"",""date"",""simple"",""for"",""a""]"
"towik/UILayoutKit","UILayoutKit 是仿安卓的 iOS 布局库，包含框架布局和线性布局，支持 UILabel、UIButton 等原生控件的宽高设置为 ""wrap""。","[""ios""]"
